"id";"nom";"code-barre";"prix";"categorie";"unite";"image"
"114";"CRANBERRIES MOITIES, LE KG";"9999999107009";"11.86";"V";"kg";""
"125";"DATTE DEGLET NOUR DE TOLGA ALGERIE PREMIUM LE KG";"3760031080095";"13.46";"V";"kg";""
"134";"FARFALLINE BLANCS VRAC  5KG LE SAC";"3329489160058";"13.56";"V";"Unité(s)";""
"143";"FIGUES BAGLAMA, N2, LE KG";"9999990005459";"9.99";"V";"kg";""
"150";"FLOCONS D'AVOINE GROS 5KG";"3273120024578";"15.25";"V";"Unité(s)";""
"165";"GINGEMBRE CONFIT LAMELLE VRAC 5KG";"";"53.95";"V";"kg";""
"166";"GOMASIO 20KG LE SAC";"9999990004531";"197.41";"V";"Unité(s)";""
"168";"GRAINES DE CHIA 3KGS";"3329488730030";"21.28";"V";"Unité(s)";""
"205";"LENTILLES CORAIL FRANCE 5KG";"0493115000001";"29.43";"V";"Unité(s)";""
"212";"MAIS POP CORN 500G";"3329488631207";"1.88";"V";"Unité(s)";""
"219";"MELANGE APERO GRILLE SALE VRAC LE KG";"9999999112546";"15.01";"V";"kg";""
"220";"MELANGE ETUDIANT, LE KG";"9999999107092";"12.05";"V";"kg";""
"221";"MILLET DECORTIQUE 5KG";"3329482411058";"15.74";"V";"Unité(s)";""
"230";"MUESLI CROUSTILLANT AUX FRUITS 3KG";"3329483411033";"21.9";"V";"Unité(s)";""
"235";"MUESLI DE L'ETUDIANT 3KG";"3273120011318";"18.79";"V";"Unité(s)";""
"241";"NOISETTES DECORTIQUEES LE KG";"9999999107016";"12.9";"V";"kg";""
"242";"NOIX DE BRESIL, LE KG";"9999999103773";"21.74";"V";"kg";""
"245";"NOIX DE COCO RAPEES LE KG";"9999999107078";"8.42";"V";"kg";""
"250";"NOUILLES DE RIZ THAI 250G";"";"3.0";"V";"Unité(s)";""
"267";"PEPITES CHOCOLAT NOIR VRAC LE KG";"7061255343345";"14.47";"V";"kg";""
"279";"PISTOLES DE CHOCOLAT NOIR 70% CACAO 2KG";"3760077184863";"32.54";"V";"Unité(s)";""
"281";"POIS CASSES 25KG LE SAC";"3329484610251";"91.41";"V";"Unité(s)";""
"307";"QUINOA REAL BLANCHE 5 KG";"3329488611056";"32.44";"V";"Unité(s)";""
"310";"RAISINS SULTANINES, LE KG";"9999990005396";"4.79";"V";"kg";""
"311";"RAPADURA SUCRE DE CANNE COMPLET - COSTA RICA 10KG";"7441017910226";"60.17";"V";"Unité(s)";""
"317";"RIZ BASMATI BLANC 5KG";"9999999107801";"15.64";"V";"Unité(s)";""
"320";"RIZ LONG 1/2 COMPLET CAMARGUE 25KG";"3329485120254";"93.53";"V";"Unité(s)";""
"321";"RIZ PARFUME BLANC 25KG LE SAC";"3329485450252";"88.99";"V";"Unité(s)";""
"323";"RIZ THAI 1/2 COMPLET 5KG";"3329485521051";"23.24";"V";"Unité(s)";""
"337";"SARRASIN DECORTIQUE - 2.5 KGS";"3556355022336";"9.38";"V";"Unité(s)";""
"340";"SESAME BLOND COMPLET 3 KG";"3273120012827";"15.62";"V";"Unité(s)";""
"348";"SON D'AVOINE 500G";"3329482685008";"2.27";"V";"Unité(s)";""
"360";"SUCRE DE CANNE BLOND CRISTAL FIN *XHP*25KG LE KG";"9999990003668";"81.69";"V";"Unité(s)";""
"560";"♥ AVOINE VRAC";"0493001000009";"3.77";"V";"kg";""
"561";"♥ PATES SECHES fusili VRAC";"0493003000007";"6.05";"V";"kg";""
"562";"♥ PATES COQUILLETTES VRAC";"0493004000006";"6.05";"V";"kg";""
"563";"♥ PATES MACARONIS VRAC";"0493002000008";"6.05";"V";"kg";""
"564";"♥ PATES CONCHIGLLIONI VRAC";"0493007000003";"6.05";"V";"kg";""
"565";"♥ PATES SARRASIN VRAC";"0493005000005";"7.4";"V";"kg";""
"568";"♥ PRUNEAUX PAR 12,5kg";"0493006000004";"6.99";"V";"kg";""
"687";"♥ Bouteille + capsule T.Battant";"0490000018004";"1.4";"V";"Unité(s)";""
"602";"♥ Concombre BDC";"0499000007001";"1.35";"L";"kg";""
"611";"♥ Cresson 250gr ABC";"0499000050007";"2.69";"L";"kg";""
"620";"♥ Salade Frisée BDC";"0499000013002";"1.35";"L";"Unité(s)";""
"894";"Ail blanc SAF";"0493102000007";"8.27";"L";"kg";""
"897";"Aubergine SAF";"0493105000004";"4.69";"L";"kg";""
"904";"Blette SAF";"0493110000006";"3.23";"L";"kg";""
"911";"Champignon Shitaké SAF";"0493026000008";"14.12";"L";"kg";""
"921";"Chou Frisé Kale SAF";"0499000022004";"2.08";"L";"kg";""
"925";"Concombre SAF";"0499000008008";"1.48";"L";"Unité(s)";""
"935";"Courgette SAF";"0493047000001";"5.31";"L";"kg";""
"941";"Endive SAF";"0493106000003";"3.97";"L";"kg";""
"948";"♥ Salade Scarole BDC";"0499000014009";"1.35";"L";"Unité(s)";""
"950";"Feuille de chêne rge/verte SAF";"0499000023001";"1.28";"L";"Unité(s)";""
"957";"♥ Navet primeur JDL";"0499000016003";"2.02";"L";"kg";""
"959";"Navet Rond Violet SAF";"0493099000004";"2.62";"L";"kg";""
"960";"Navet Boule d'Or SAF";"0493066000006";"2.69";"L";"kg";""
"966";"Poireau Local SAF";"0493062000000";"2.42";"L";"kg";""
"967";"Poivron Rouge SAF";"0493080000006";"3.9";"L";"kg";""
"969";"Poivron Jaune SAF";"0493079000000";"3.56";"L";"kg";""
"1160";"Echalotte SAF";"0493053000002";"6.66";"L";"kg";""
"1172";"Banane SAF";"0493087000009";"1.82";"F";"kg";""
"1173";"Avocat SAF";"0499000010001";"1.6";"F";"Unité(s)";""
"1174";"Ananas SAF";"0499000009005";"2.35";"F";"Unité(s)";""
"1178";"Mangue SAF";"0499000011008";"2.08";"F";"Unité(s)";""
"1179";"Orange Naveline SAF";"0493091000002";"2.02";"F";"kg";""
"1181";"Pomelo Star Ruby SAF Unité";"0499000021007";"1.21";"F";"Unité(s)";""
"1182";"♥ Pomme BOU";"0499000002006";"2.62";"F";"Unité(s)";""
"1185";"Kiwis SAF Unité";"0499000020000";"0.54";"F";"Unité(s)";""
"1191";"Navet Long SAF";"0493113000003";"2.89";"L";"kg";""
"1193";"Salade Laitue SAF";"0499000026002";"1.28";"L";"Unité(s)";""
"1257";"Mache Local SAF";"0493129000004";"12.04";"L";"kg";""
"1263";"Poire Conference SAF";"0493134000006";"3.97";"F";"kg";""
